block,method,attack,rho,alpha,spoof,seed,round,accuracy,f1,precision,recall
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,5,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,6,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,7,0.9991,0.9992710779946545,1.0,0.9985432178698608
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,8,0.99955,0.9996359370575624,0.999272139102305,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,9,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,10,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,11,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,12,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,13,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,14,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,15,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,16,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,17,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,18,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,19,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,20,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,21,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,22,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,23,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,24,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,42,25,1.0,1.0,1.0,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,1,0.6263,0.7702145975527269,0.6263,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,2,0.9279,0.9455725824715031,0.8967640320733105,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,3,0.88975,0.9191033495982683,0.8503156608512661,1.0
amftas,amfta_s,label_flipping,0.30,0.50,0.00,123,4,1.0,1.0,1.0,1.0
